title,year,genre,review,gptzero_result
title,year,genre,review,{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Crumb Catcher,2024.0,"drama, comedy, thriller","The subplots dangle, the suspense unravels, and the primary relationship never takes off. What you’re left with isn’t an arresting piece of filmmaking, but an idea that is stretched beyond the ability to naturally hold one’s attention without relying on loud filmmaking and even louder themes.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Widow Clicquot,2024.0,drama,"From its eureka moment when Barbe-Nicole develops her iconic rose champagne to its final title cards about the company’s ongoing success, Widow Clicquot has all the same beats as the walk-and-talk business movie that you watched on your last flight. It would make perfect in-carriage entertainment for a drowsy Victorian family taking a long trip across the countryside.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Great Absence,2024.0,drama,"Anyone who has dealt with the deterioration of a parent will find something resonant in Chika-ura’s film, one that can sometimes feel self-indulgent in its pacing and length but never loses its nuance, thanks both to its refined direction and a truly stellar performance from the legendary Tatsuya Fuji.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Crossing ,2024.0,drama,"Perhaps a bit predictably, Crossing emphasizes the importance of forging new connections rather than holding onto relationships that may no longer serve us. However, its dramatic conclusion still manages to forgo cliched expectations and cater instead to the limitless possibilities that abound in an urban sprawl.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Inside Out,2015.0,"animation, adventure, comedy, drama, family, fantasy","Co-directors Pete Docter and Ronnie Del Carmen have told a very, very small-scale story when you look at what happens in the actual physical world. But in doing so, they've done something very powerful, because they have paid full respect to just how turbulent and important the inner life of a child can be.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Coco,2017.0,"animation, adventure, drama, family, fantasy, musical, mystery","The vividness of the narrative never quite matches the riotous swirl of color and culture on screen — and neither do the songs, sadly, for how central they are to the story. Instead, Coco settles into something gentler but still irrefutably sweet: a movie that plays safe with the status quo, even as it breaks with it.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Fly Me To The Moon,2024.0,"Romance,Comedy,Drama,History","Feel-good, witty, and heartfelt. I was surprised at how emotional it was to witness a universal achievement like the moon landing. Boomers are lucky. I doubt anyone younger than them will get to experience something like that again. Scarlett was fantastic. As was Woody. Channing was an awkward choice, but it worked out. Lots of big rocket launch shots. See it on the big screen.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
IF,2024.0,"Animation, comedy, drama","My youngest daughter wanted to see this, it has Ryan Reynolds in it, so I thought ""what the heck"". Man I did not anticipate that I would be a bumbling crying mess at the end of this film.

I wouldn't say this is a kids film, it's more of a film for adults who still have that child still inside of them, but they lost their way when they grew up and became adults. This is a movie for the child inside all of us, that still has that glimmer of hope.

John Krasinski seems like a big child, and that's basically what he was playing in here. I don't mean that in a negative way, I find it very endearing because you don't see that a lot anymore in people.

I really liked seeing the imagination of the little girl in here, but as I stated this is a HEAVY movie, so some things kids may not enjoy in here. When we got out of the movie I asked my daughter ""did you like the movie?"" and she said ""yeah, it was funny and sad"". I would have to agree with her assessment.

I would say that if you have a child that has trouble concentrating or sitting still, then they will be miserable in this. This is definitely targeted more for adults.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Maharaja,2024.0,"action, drama, thriller","Maharaja is one of the finest films of recent times! After a long time such good cinema is made in India. We can consider this one of the cult classics of Indian Cinema! The performances are good the direction is good and the script is just mind blowing! You are hooked to the film throughout! The non linear story telling also makes this a superb watch! Vijay Sethupathi as always has not failed to impress the audience. The most surprising performance is of Mr. Anurag Kashyap, he was very good in the role. There is a point in the film where you feel you have lost hope but then again some twist comes and you are back to normal. Full marks to the director Nithilan Swaminathan for making such good film!!",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
